# latitude: 0.0, longitude: -167.302, year: 2023, month: 5, day: 15, cruise: 13239, uid: 22288039
z,z_level_qc,z_unc,t,t_level_qc,t_unc,s,s_level_qc,s_unc,oxygen,phosphate,silicate,pH,p
4550.0,0,,1.27,0,,34.71,0,,,,,,
4560.0,0,,1.27,0,,34.71,0,,,,,,
4570.0,0,,1.27,0,,34.71,0,,,,,,
4579.0,0,,1.27,0,,34.71,0,,,,,,
4589.0,0,,1.27,0,,34.71,0,,,,,,
4599.0,0,,1.26,0,,34.71,0,,,,,,
4609.0,0,,1.27,0,,34.71,0,,,,,,
4618.0,0,,1.27,0,,34.71,0,,,,,,
4628.0,0,,1.27,0,,34.71,0,,,,,,
4638.0,0,,1.27,0,,34.71,0,,,,,,
4648.0,0,,1.27,0,,34.71,0,,,,,,
4657.0,0,,1.27,0,,34.71,0,,,,,,
